,formatted_address,replies,views,views_replies_ratio,last_posted_at,recency,latitude,longitude,replies_score,views_score,recency_score,views_replies_ratio_score,total_score
1110,"Puteri 4, No. 1, Jln Desa Palma, Nasa City, 81100 Johor Bahru, Johor, Malaysia",80,2251,0.03553976010661928,2014-11-08,2083.0,1.5499636,103.7222613,7,5,4,5,504
1111,"Putra Heights, 40400 Subang Jaya, Selangor, Malaysia",5,906,0.005518763796909493,2017-11-21,974.0,3.005805,101.5777559,3,3,6,2,60
1112,"Putra Palms, 40400 Subang Jaya, Selangor, Malaysia",3,652,0.004601226993865031,2016-01-28,1637.0,3.0161757999999996,101.5733512,2,2,5,2,4
1113,"Putra Walk, 43400 Seri Kembangan, Selangor, Malaysia",1,1145,0.0008733624454148472,2010-09-19,3594.0,2.991508,101.67596999999999,1,3,1,1,10
1114,"Q Sentral, 2A, Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",8,2766,0.0028922631959508315,2020-02-19,154.0,3.1366547000000002,101.6870296,3,5,9,1,60
1115,"RESIDENSI PANDANMAS 2, No.2A, Lorong Delapan, Kampung Pandan, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",330,70985,0.004648869479467493,2020-06-20,32.0,3.1411404999999997,101.73740500000001,9,9,9,2,81
1116,"Rawang, Selangor, Malaysia",3,638,0.004702194357366771,2014-06-19,2225.0,3.320482,101.5759238,2,2,3,2,4
1117,"Regina, SK, Canada",2,697,0.0028694404591104736,2013-01-31,2729.0,50.4452112,-104.6188943,2,3,2,1,4
1118,"Residency Park 51 @ Park 51 Residency, Jalan 51A/241, Seksyen 51a, 46100 Petaling Jaya, Selangor, Malaysia",20,1865,0.010723860589812333,2014-03-20,2316.0,3.0915613,101.6215955,5,4,3,5,20
1119,"Residensi 357 Setapak (The Nest), Lorong 2/23D, Danau Kota, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",167,27201,0.0061394801661703614,2020-01-21,183.0,3.1989961,101.7142598,8,8,9,3,144
