,name,replies,views,last_posted_at,len_name,weird_characters
157,Buying a landed property in BU 11 ,74,"3,021",2020-07-03 01:42:00,34,False
158,SINARAN @ WANGSA MAJU,487,"53,796",2020-07-02 18:53:00,21,False
159,MONTENA SOVO SUITES @ ALAM DAMAI CHERAS ,471,"55,059",2020-07-02 17:17:00,40,False
160,LIBERTY ARC @ AMPANG UKAY,763,"132,270",2020-07-02 14:15:00,25,False
161,KL GATEWAY | PREMIUM RESIDENCES ,834,"159,874",2020-07-02 10:21:00,32,False
162,THE RIYANG @ HAPPY GARDEN ,710,"117,193",2020-07-02 05:52:00,26,False
163,AMVERTON GREENS @ BUKIT KEMUNING G&C RESORT,71,"11,235",2020-07-01 18:32:00,43,False
165,ARRA RESIDENCES @ ARA SENTRAL ,19,"4,362",2020-07-01 11:30:00,30,False
166,KUALA LUMPUR DIGITAL CITY,295,"40,281",2020-07-01 03:40:00,25,False
167,Azalea Homes - Taman Kundang Jaya ..::V2::..,36,"4,304",2020-06-30 16:34:00,44,False
168,EKOCHERAS @ JALAN CHERAS  ,"3,220","500,787",2020-06-28 21:11:00,26,False
169,Five Stones @ ss2/72,458,"69,115",2020-06-28 21:05:00,20,False
170,THE ELEMENTS @ AMPANG ,562,"90,264",2020-06-28 20:05:00,22,False
171,EQUINE RESIDENCE,257,"39,418",2020-06-28 17:07:00,16,False
172,Ivory Residences by LBS - Bandar Saujana Putra,"1,223","212,316",2020-06-28 16:36:00,46,False
173,BLISS RESIDENCE @ OLD KLANG ROAD,208,"28,840",2020-06-28 12:45:00,32,False
174,EXPRESSIONZ PROFESSIONAL SUITES @ TUN RAZAK ,388,"50,964",2020-06-28 12:31:00,44,False
175,"UNIO RESIDENCE @ KL NORTH, JALAN KEPONG",264,"35,916",2020-06-28 02:03:00,39,False
176,QUARTZ WANGSA MAJU | LEXA | FERA | HENNA,"1,483","287,169",2020-06-27 21:40:00,40,False
177,"MYRESIDENCE @ MYTOWN SHOPPING CENTRE, CHERAS",454,"43,675",2020-06-27 21:08:00,44,False
178,THE REACH @ TITIWANGSA ,404,"56,039",2020-06-27 16:29:00,23,False
179,KUCHAI EAST @ KUCHAI LAMA,800,"113,815",2020-06-27 11:53:00,25,False
180,FOUR SEASONS PRIVATE RESIDENCES KUALA LUMPUR,38,"10,496",2020-06-26 18:40:00,44,False
181,THE HENGE RESIDENCE | RESIDENSI KEPONGMAS ,"2,672","401,304",2020-06-26 16:53:00,42,False
182,DAMANSARA FORESTA  ,"2,208","361,621",2020-06-26 13:15:00,19,False
183,J. DUPION RESIDENCE @ OFF JALAN CHERAS,364,"61,973",2020-06-26 08:12:00,38,False
184,UCSI RESIDENCE 2 ,98,"12,739",2020-06-26 00:53:00,17,False
185,AMAZELAND'S RUMAWIP AT DESA SRI HARTAMAS,94,"11,776",2020-06-26 00:31:00,40,False
186,THE HERZ @ KEPONG | RESIDENSI KEPONGMAS 2,562,"84,516",2020-06-25 21:45:00,41,False
187,Oasis 2 @Kajang Mutiara Heights,183,"27,882",2020-06-25 18:58:00,31,False
188,TTDI ADINA by Naza TTDI,68,"16,403",2020-06-25 18:56:00,23,False
189,VILLA CRYSTAL @ SOUTH DESA PARK ,345,"66,234",2020-06-25 18:54:00,32,False
190,"The Vale, Damansara Sutera",172,"24,600",2020-06-25 16:38:00,26,False
191,THE RAINZ @ BUKIT JALIL ,"2,644","397,003",2020-06-25 12:29:00,24,False
192,THE ESTATE @ BANGSAR SOUTH,219,"42,917",2020-06-22 15:31:00,26,False
193,PPA1M RESIDENSI BAYU ANDAMAN @ SENTUL ,80,"13,748",2020-06-22 08:35:00,38,False
195,"DAMAI VISTA @ ALAM DAMAI, CHERAS",60,"10,768",2020-06-21 23:28:00,32,False
196,MCT Tropicana,9,"1,106",2020-06-21 21:56:00,13,False
197,Desa Green Serviced Apartments,"2,108","361,750",2020-06-21 19:50:00,30,False
198,8 CONLAY | KEMPINSKI HOTEL & RESIDENCES,166,"24,584",2020-06-21 15:55:00,39,False
199,RESIDENSI PV 9 | VISTA WIRAJAYA 1 AND 2 ,292,"44,937",2020-06-21 13:43:00,40,False
200,THE HERMINGTON @ KUCHAI LAMA | RESIDENSI KUCHAIMAS,731,"138,330",2020-06-20 20:54:00,50,False
201,PANDANMAS RESIDENCE @ KG PANDAN KL,330,"70,985",2020-06-20 20:13:00,34,False
202,PLATINUM ARENA @ OLD KLANG ROAD,894,"135,312",2020-06-20 18:28:00,31,False
203,MUTIARA CENTRAL @ CHERAS BUSINESS CENTRE,151,"12,559",2020-06-20 17:48:00,40,False
204,PLAZA ARKADIA @ PARKCITY TOWNCENTER ,"1,011","100,905",2020-06-19 23:00:00,36,False
205,MAJESTIC MAXIM @ TAMAN CONNAUGHT CHERAS,"1,262","202,827",2020-06-19 20:47:00,39,False
207,THIRD AVENUE @ CYBERJAYA ,734,"86,922",2020-06-19 01:04:00,25,False
208,Empire Remix,"2,058","291,863",2020-06-18 16:56:00,12,False
209,SUNWAY BELFIELD RESIDENCE KUALA LUMPUR,72,"11,488",2020-06-17 18:50:00,38,False
210,Alam Impian Althea SemiD vs Tropicana Dahlia SemiD,9,427,2020-06-17 11:25:00,50,False
211,3 elements SOFO@ Puchong South,52,"6,737",2020-06-17 10:28:00,30,False
213,SERINI MELAWATI ,222,"36,316",2020-06-16 21:01:00,16,False
214,Damansara-Shah Alam Elevated Expressway ,912,"114,010",2020-06-16 12:43:00,40,False
215,"Aviary Residence @ Puchong Aviary, Hua Yang",7,271,2020-06-15 23:44:00,43,False
216,FORTUNE CENTRA @ OFF JALAN KEPONG,162,"23,794",2020-06-14 11:53:00,33,False
217,RESIDENSI DESAMAS ,629,"79,703",2020-06-13 22:12:00,18,False
218,"Alam Idaman Service Apartment, Shah Alam.",92,"13,427",2020-06-13 14:45:00,41,False
219,PETALZ RESIDENCES @OLD KLANG ROAD ,"3,275","513,336",2020-06-13 12:44:00,34,False
220,RYAN & MIHO @ SECTION 13 PJ,949,"153,718",2020-06-13 02:55:00,27,False
221,LAKE CITY @ KL NORTH,"1,138","158,055",2020-06-12 22:43:00,20,False
222,Mulberri Condominium @ Kepong - Menjalara,256,"32,565",2020-06-12 16:54:00,41,False
223,EDUMETRO @ USJ 1 SUBANG JAYA ,255,"51,448",2020-06-12 14:54:00,29,False
224,"Spring Avenue, Kuchai",194,"23,763",2020-06-12 10:14:00,21,False
225,"OPUS @ KUALA LUMPUR, JALAN TALLALA ",395,"49,922",2020-06-12 06:46:00,35,False
226,V-RESIDENSI @ SELAYANG HEIGHTS ,403,"50,222",2020-06-11 22:59:00,31,False
227,"THE ANDES CONDO & VILLA, BUKIT JALIL ",834,"165,911",2020-06-11 15:07:00,37,False
228,GREEN RESIDENCE @ CHERAS 9TH MILE ,"1,435","227,115",2020-06-11 13:02:00,34,False
229,ANJALI NORTH KIARA ,"1,972","326,651",2020-06-11 12:06:00,19,False
230,TAMARIND SUITES @ CYBERJAYA ,"1,389","114,094",2020-06-10 21:58:00,28,False
231,Ion Majestic Genting Highland,182,"22,849",2020-06-10 21:04:00,29,False
232,RITZ COMMUNITIES @ SALAK SOUTH ,752,"138,162",2020-06-10 14:00:00,31,False
234,Impian Meridian,808,"82,210",2020-06-10 10:40:00,15,False
235,AMANJA SEMI-D SUITES @ SRI DAMANSARA ,74,"17,118",2020-06-09 16:02:00,37,False
236,THE ROBERTSON @ BUKIT BINTANG  ,863,"99,987",2020-06-09 15:23:00,31,False
