,areas_within,replies,views,total_score,address,polygon
292,TAMAN CONNAUGHT,2154,283692,215.33333333333334,6,"POLYGON ((101.729532 3.084403, 101.742133 3.084624, 101.742642 3.082671, 101.745964 3.082683, 101.746213 3.082103, 101.747225 3.079553, 101.747415 3.078919, 101.745235 3.078967, 101.735092 3.078098, 101.729686 3.077552, 101.729503 3.081909, 101.729532 3.084403))"
293,TAMAN CUEPAC,2,164,4.0,1,"POLYGON ((101.747225 3.079553, 101.746213 3.082103, 101.746133 3.082303, 101.761066 3.095911, 101.763748 3.092036, 101.762701 3.086896, 101.757086 3.083184, 101.757181 3.07833, 101.758133 3.078235, 101.757911 3.075743, 101.748774 3.078325, 101.747806 3.078565, 101.747511 3.078551, 101.747335 3.079277, 101.747225 3.079553))"
294,TAMAN DESA,56,6238,52.0,3,"POLYGON ((101.688925 3.109546, 101.685335 3.102032, 101.685163 3.098783, 101.683675 3.09926, 101.682836 3.097441, 101.682881 3.096819, 101.680897 3.096486, 101.678642 3.096729, 101.681258 3.1028, 101.682827 3.104025, 101.683711 3.105547, 101.685173 3.109492, 101.688925 3.109546))"
295,TAMAN DESA SETAPAK,9,1366,60.0,1,"POLYGON ((101.727374 3.208585, 101.729282 3.211572, 101.729824 3.212286, 101.730235 3.212676, 101.730517 3.212935, 101.730712 3.21339, 101.731168 3.214169, 101.731601 3.214515, 101.73223 3.214905, 101.735503 3.211593, 101.735113 3.211658, 101.734766 3.211702, 101.733834 3.211593, 101.733205 3.211355, 101.732598 3.211139, 101.732403 3.210987, 101.731124 3.209451, 101.736977 3.203996, 101.735211 3.202076, 101.733552 3.20378, 101.730821 3.205555, 101.72913 3.206897, 101.728154 3.207676, 101.727374 3.208585))"
296,TAMAN DESAWAN,353,40556,81.0,1,"POLYGON ((101.457177 3.000492, 101.441824 3.000436, 101.441398 3.00157, 101.441333 3.005342, 101.448096 3.004657, 101.453521 3.004486, 101.454492 3.004143, 101.453578 3.001573, 101.457861 3.001573, 101.457177 3.000492))"
297,TAMAN EHSAN JALAN 2,74,17118,504.0,1,"POLYGON ((101.622287 3.219099, 101.620001 3.217496, 101.621147 3.215976, 101.621187 3.214547, 101.621347 3.2089, 101.61873 3.208402, 101.618503 3.208137, 101.616976 3.206356, 101.615767 3.204946, 101.615744 3.206026, 101.615651 3.210575, 101.616889 3.21057, 101.617116 3.216035, 101.61313 3.218244, 101.612968 3.220453, 101.614308 3.218986, 101.616919 3.220934, 101.617397 3.220442, 101.620187 3.222178, 101.622287 3.219099))"
298,TAMAN GEMBIRA 1,0,219,10.0,1,"POLYGON ((101.427873 3.029134, 101.425014 3.034982, 101.432549 3.043022, 101.435455 3.042226, 101.433178 3.03534, 101.4333 3.034206, 101.433909 3.032763, 101.427873 3.029134))"
299,TAMAN HAPPY TENGAH,94,8704,270.0,2,"POLYGON ((101.679526 3.08486, 101.686652 3.085653, 101.688708 3.085797, 101.688889 3.083869, 101.686688 3.083851, 101.68492 3.083743, 101.682268 3.083887, 101.681149 3.083689, 101.67967 3.083383, 101.679526 3.08486))"
300,TAMAN HAPPY UTARA,176,22379,144.0,1,"POLYGON ((101.680043 3.091174, 101.680771 3.091106, 101.68142 3.091251, 101.682468 3.092007, 101.683224 3.090931, 101.682954 3.090516, 101.682881 3.088967, 101.683495 3.088949, 101.683386 3.088247, 101.686381 3.088661, 101.686652 3.085653, 101.679526 3.08486, 101.679454 3.085923, 101.680464 3.086085, 101.68059 3.088535, 101.67967 3.088625, 101.680043 3.091174))"
301,TAMAN KAJANG BARU,149,21789,144.0,1,"POLYGON ((101.793703 2.993015, 101.792125 2.993658, 101.79156 2.994453, 101.787458 2.996044, 101.783682 2.996673, 101.792442 2.996903, 101.79303 2.998275, 101.797244 2.998177, 101.798126 3.000234, 101.798688 3.000797, 101.799302 3.00141, 101.800575 3.002978, 101.801163 3.005036, 101.801947 3.007094, 101.802339 3.008172, 101.803711 3.007094, 101.805671 3.005624, 101.807729 3.002684, 101.799488 2.99541, 101.795485 2.995046, 101.793703 2.993015))"
302,TAMAN KAJANG UTAMA,2252,252253,204.83333333333334,6,"POLYGON ((101.795134 2.976931, 101.801858 2.976793, 101.810539 2.976051, 101.818207 2.973538, 101.818207 2.972401, 101.816548 2.970139, 101.817001 2.964712, 101.815041 2.963053, 101.815041 2.960792, 101.815558 2.954935, 101.815827 2.951877, 101.816398 2.945414, 101.818358 2.943605, 101.818511 2.943144, 101.81881 2.942248, 101.81904 2.939599, 101.819111 2.938781, 101.806598 2.933202, 101.804035 2.929735, 101.802226 2.931092, 101.801171 2.933052, 101.797854 2.932901, 101.797424 2.932338, 101.796236 2.930785, 101.79279 2.934192, 101.79229 2.935406, 101.789792 2.937191, 101.785366 2.942259, 101.785152 2.944757, 101.785866 2.948112, 101.787222 2.951039, 101.789363 2.953609, 101.791719 2.958463, 101.791862 2.960819, 101.79184 2.962077, 101.789746 2.966789, 101.789365 2.969263, 101.789285 2.97674, 101.790399 2.976809, 101.795134 2.976931))"
303,TAMAN KEPONG,2057,257722,161.0,4,"POLYGON ((101.642564 3.205189, 101.64253 3.205155, 101.640101 3.202728, 101.638983 3.20161, 101.63568 3.205, 101.633151 3.207594, 101.630063 3.209114, 101.631204 3.212031, 101.631361 3.212132, 101.632684 3.212987, 101.632733 3.213065, 101.633375 3.214084, 101.633413 3.214088, 101.638416 3.214579, 101.642044 3.211031, 101.641747 3.205964, 101.643151 3.205775, 101.642564 3.205189))"
304,TAMAN KLANG UTAMA 1,31,7673,36.0,1,"POLYGON ((101.411457 3.088654, 101.408185 3.088595, 101.404644 3.086529, 101.403787 3.087386, 101.397886 3.08986, 101.390934 3.09424, 101.391589 3.095787, 101.392205 3.097299, 101.392243 3.097393, 101.408741 3.097586, 101.408641 3.108707, 101.408627 3.110198, 101.408453 3.129356, 101.408658 3.110327, 101.423786 3.110279, 101.423982 3.110277, 101.423982 3.097571, 101.423781 3.088114, 101.419666 3.087881, 101.419309 3.089071, 101.411457 3.088654))"
305,TAMAN KOSAS,1,404,10.0,1,"POLYGON ((101.768149 3.152394, 101.768567 3.152432, 101.771269 3.150589, 101.771299 3.150569, 101.773644 3.148962, 101.770977 3.145139, 101.770045 3.14607, 101.766286 3.147581, 101.765379 3.148048, 101.766447 3.149765, 101.767732 3.151758, 101.768123 3.152355, 101.768149 3.152394))"
306,TAMAN KOTA CHERAS,1457,230682,70.0,2,"POLYGON ((101.747415 3.078919, 101.747225 3.079553, 101.747335 3.079277, 101.747511 3.078551, 101.747806 3.078565, 101.748774 3.078325, 101.757911 3.075743, 101.759308 3.075353, 101.763197 3.071156, 101.766984 3.070338, 101.770746 3.068319, 101.771181 3.068086, 101.774544 3.068763, 101.776899 3.069237, 101.779266 3.066346, 101.775044 3.062371, 101.773886 3.060387, 101.774437 3.055646, 101.774548 3.05267, 101.775044 3.051237, 101.776146 3.049197, 101.776256 3.046827, 101.774272 3.04352, 101.772983 3.043579, 101.773602 3.045582, 101.773732 3.045973, 101.773973 3.046407, 101.774486 3.04733, 101.774451 3.048023, 101.774416 3.048732, 101.774335 3.050345, 101.773569 3.051397, 101.773129 3.052003, 101.771739 3.052324, 101.771169 3.052456, 101.771239 3.053576, 101.77132 3.054868, 101.770415 3.056225, 101.769963 3.058637, 101.765591 3.060597, 101.763932 3.060597, 101.762274 3.060295, 101.758053 3.061652, 101.757711 3.061865, 101.756823 3.062421, 101.754434 3.063914, 101.754272 3.064604, 101.753831 3.066476, 101.754133 3.068436, 101.750073 3.069243, 101.750048 3.069285, 101.750098 3.07293, 101.750051 3.073745, 101.748904 3.074343, 101.74988 3.075744, 101.749791 3.076859, 101.749791 3.076859, 101.747635 3.076736, 101.747582 3.076733, 101.747448 3.078495, 101.747415 3.078919))"
307,TAMAN LEN SEN,5534,754313,128.11111111111111,9,"POLYGON ((101.745225 3.063765, 101.745406 3.054606, 101.744297 3.054572, 101.74406 3.054558, 101.743391 3.054518, 101.743366 3.054517, 101.743365 3.054518, 101.743116 3.054521, 101.739695 3.054559, 101.739128 3.054556, 101.739082 3.054556, 101.738928 3.060255, 101.73253 3.060781, 101.732409 3.061691, 101.733644 3.064117, 101.733198 3.067887, 101.731761 3.068272, 101.728542 3.074059, 101.727995 3.07418, 101.728319 3.077198, 101.729291 3.077501, 101.729686 3.077552, 101.735092 3.078098, 101.745235 3.078967, 101.745185 3.070756, 101.745104 3.069325, 101.745225 3.063765))"
308,TAMAN MAWAR,24,2380,20.0,1,"POLYGON ((101.755461 3.11506, 101.757852 3.114351, 101.759645 3.114425, 101.759944 3.112334, 101.761251 3.112931, 101.761961 3.10764, 101.762046 3.107268, 101.760621 3.106961, 101.755101 3.106581, 101.753116 3.106696, 101.753067 3.106779, 101.752105 3.108066, 101.753556 3.109121, 101.755424 3.110242, 101.756208 3.111026, 101.754042 3.113155, 101.754005 3.115471, 101.755461 3.11506))"
309,TAMAN MAZNAH,10,4109,60.0,2,"POLYGON ((101.480692 3.006658, 101.474683 3.008919, 101.467678 3.011496, 101.465731 3.011696, 101.468258 3.018644, 101.470873 3.025833, 101.472622 3.025143, 101.474478 3.026464, 101.474525 3.027312, 101.47934 3.029498, 101.479661 3.028177, 101.48505 3.030426, 101.491656 3.017227, 101.493154 3.016675, 101.497282 3.012784, 101.487528 3.012889, 101.481954 3.009103, 101.480692 3.006658))"
310,TAMAN MELATI,5,430,60.0,1,"POLYGON ((101.732783 3.220635, 101.723721 3.213623, 101.723591 3.215657, 101.722854 3.215765, 101.722941 3.217648, 101.722464 3.21767, 101.722442 3.218471, 101.722095 3.218579, 101.723049 3.219445, 101.7219 3.220722, 101.721987 3.22254, 101.723157 3.223969, 101.723873 3.223319, 101.724653 3.223882, 101.725195 3.223103, 101.725759 3.223579, 101.726149 3.224466, 101.726583 3.226111, 101.728555 3.224878, 101.730658 3.223081, 101.731937 3.221436, 101.732783 3.220635))"
311,TAMAN MELAWATI,335,46665,45.666666666666664,3,"POLYGON ((101.746068 3.215487, 101.748324 3.218534, 101.749395 3.219116, 101.749894 3.21983, 101.750109 3.220687, 101.75068 3.221401, 101.751822 3.221758, 101.75217 3.222385, 101.75175 3.222828, 101.751536 3.223257, 101.751251 3.223828, 101.750608 3.223756, 101.750109 3.223971, 101.749971 3.225002, 101.756462 3.234702, 101.76591 3.249522, 101.771726 3.255079, 101.774719 3.25868, 101.775513 3.260634, 101.776123 3.264235, 101.776917 3.272474, 101.77948 3.278639, 101.782898 3.284071, 101.784119 3.284254, 101.785522 3.283278, 101.786316 3.28108, 101.787476 3.27986, 101.788879 3.27986, 101.790527 3.281447, 101.793091 3.284437, 101.794922 3.285231, 101.796875 3.284681, 101.798096 3.28285, 101.799683 3.279066, 101.801331 3.278456, 101.805725 3.279066, 101.807678 3.278639, 101.809509 3.278639, 101.810859 3.279656, 101.809 3.277294, 101.795009 3.257093, 101.782089 3.239604, 101.771952 3.225255, 101.768954 3.218474, 101.768668 3.216689, 101.76774 3.214477, 101.766456 3.214691, 101.760245 3.208552, 101.758175 3.20898, 101.75593 3.206688, 101.75463 3.209313, 101.753142 3.210443, 101.746604 3.212108, 101.746776 3.213575, 101.746068 3.215487))"
312,TAMAN MESRA,113,21502,144.0,1,"POLYGON ((101.779715 3.007411, 101.787792 3.010135, 101.790648 3.011206, 101.792718 3.007208, 101.791808 3.005876, 101.79156 3.00435, 101.791323 3.003318, 101.79011 3.002033, 101.783381 2.99999, 101.780969 3.001649, 101.780516 3.004664, 101.779715 3.007411))"
313,TAMAN MIDAH KIRI,676,101071,81.0,1,"POLYGON ((101.729314 3.093088, 101.729252 3.088339, 101.727082 3.088369, 101.726757 3.087941, 101.726225 3.088236, 101.7197 3.088015, 101.722963 3.090823, 101.725059 3.090926, 101.725399 3.091914, 101.723878 3.09246, 101.725 3.097424, 101.728681 3.096907, 101.728186 3.094693, 101.728798 3.093701, 101.729314 3.093088))"
314,TAMAN MIHARJA,3,1114,4.0,1,"POLYGON ((101.725047 3.126123, 101.726564 3.125441, 101.727628 3.123841, 101.721974 3.12048, 101.720749 3.12041, 101.719656 3.120347, 101.719399 3.120435, 101.718401 3.120774, 101.717028 3.121526, 101.715965 3.122927, 101.715307 3.125637, 101.719533 3.121798, 101.723562 3.124265, 101.724243 3.12476, 101.724636 3.125152, 101.724867 3.125475, 101.725051 3.126006, 101.725047 3.126123))"
315,TAMAN MILLION,15,2328,320.0,1,"POLYGON ((101.687307 3.191008, 101.687801 3.190515, 101.688893 3.188488, 101.68884 3.182836, 101.688312 3.180601, 101.686654 3.177404, 101.68173 3.180974, 101.680877 3.181703, 101.680873 3.181863, 101.68085 3.182768, 101.681525 3.184318, 101.682089 3.186928, 101.683396 3.187489, 101.683607 3.188158, 101.683924 3.188791, 101.684664 3.188879, 101.685475 3.188562, 101.68618 3.189125, 101.687307 3.191008))"
316,TAMAN MUHIBBAH,96,18004,504.0,1,"POLYGON ((101.711433 3.026839, 101.711066 3.027491, 101.71435 3.030014, 101.714968 3.029633, 101.716928 3.026074, 101.720265 3.019868, 101.721193 3.017687, 101.723421 3.015466, 101.723758 3.01513, 101.724171 3.013801, 101.722011 3.012305, 101.721748 3.012751, 101.721614 3.012977, 101.720943 3.014112, 101.720213 3.015346, 101.719665 3.016396, 101.718991 3.017686, 101.718572 3.018487, 101.716573 3.021771, 101.714503 3.024127, 101.711433 3.026839))"
317,TAMAN MULIA,298,42818,37.0,3,"POLYGON ((101.719491 3.088062, 101.71943 3.083521, 101.71615 3.082038, 101.715239 3.085111, 101.715057 3.085414, 101.714794 3.085596, 101.712486 3.086425, 101.711039 3.086017, 101.711317 3.086512, 101.710902 3.087237, 101.715097 3.088305, 101.715421 3.091156, 101.714753 3.091196, 101.714895 3.094755, 101.709756 3.094928, 101.710177 3.095103, 101.710987 3.096256, 101.714449 3.101512, 101.715239 3.10314, 101.714875 3.103726, 101.714794 3.104474, 101.715138 3.105202, 101.715826 3.106011, 101.71779 3.108841, 101.718337 3.109104, 101.719349 3.108578, 101.71941 3.108012, 101.720159 3.10785, 101.721435 3.107931, 101.721961 3.108134, 101.722457 3.108543, 101.727175 3.112202, 101.728687 3.113481, 101.728986 3.112295, 101.730093 3.110074, 101.726456 3.107815, 101.725626 3.106476, 101.723277 3.102508, 101.722852 3.101659, 101.722386 3.100325, 101.720686 3.097181, 101.71941 3.092935, 101.719491 3.088062))"
318,TAMAN MUTIARA BARAT,10712,1070687,90.0,2,"POLYGON ((101.739149 3.096076, 101.741297 3.087983, 101.740373 3.087706, 101.739011 3.087637, 101.737556 3.087706, 101.73587 3.087798, 101.734854 3.087798, 101.733584 3.087729, 101.732129 3.087545, 101.730836 3.087245, 101.729338 3.087132, 101.729252 3.088339, 101.729314 3.093088, 101.729335 3.09467, 101.731483 3.095016, 101.732106 3.095292, 101.735616 3.096883, 101.735616 3.095661, 101.739149 3.096076))"
319,TAMAN NIRWANA,20,2876,20.0,1,"POLYGON ((101.750606 3.139563, 101.750307 3.140124, 101.750344 3.140422, 101.750157 3.142215, 101.750867 3.142962, 101.750755 3.144232, 101.751127 3.144268, 101.751246 3.144577, 101.751318 3.145965, 101.754402 3.14589, 101.755505 3.144855, 101.755125 3.143709, 101.753258 3.141057, 101.750606 3.139563))"
320,TAMAN OVERSEAS UNION SELATAN,416,50440,81.0,1,"POLYGON ((101.674493 3.069462, 101.674619 3.069885, 101.677415 3.0722, 101.676306 3.073822, 101.675936 3.07458, 101.677384 3.075599, 101.677763 3.07485, 101.679237 3.071944, 101.681853 3.066318, 101.683797 3.065752, 101.683116 3.065607, 101.682051 3.065985, 101.679508 3.066814, 101.677217 3.067228, 101.674547 3.0673, 101.674493 3.069462))"
321,TAMAN OVERSEAS UNION UTARA,66,7915,504.0,1,"POLYGON ((101.677384 3.075599, 101.675936 3.07458, 101.676306 3.073822, 101.677415 3.0722, 101.674619 3.069885, 101.674493 3.069462, 101.673176 3.069426, 101.671696 3.073083, 101.671227 3.076713, 101.671299 3.079343, 101.673861 3.080032, 101.677253 3.075857, 101.677384 3.075599))"
322,TAMAN P.RAMLEE,3295,230364,312.0,2,"POLYGON ((101.705845 3.1894, 101.705604 3.191971, 101.705701 3.192925, 101.705614 3.19351, 101.704015 3.197622, 101.703781 3.198352, 101.705202 3.198087, 101.706037 3.198196, 101.70672 3.197157, 101.707836 3.197351, 101.707966 3.197059, 101.711772 3.194593, 101.710905 3.193574, 101.710701 3.193333, 101.709528 3.192384, 101.705845 3.1894))"
323,TAMAN PINGGIRAN PUTRA,1951,265106,161.72727272727272,11,"POLYGON ((101.681123 2.982382, 101.634864 2.980335, 101.63484 2.980676, 101.633486 3.000033, 101.632118 3.021745, 101.631136 3.021727, 101.631485 3.022508, 101.630806 3.023436, 101.63045 3.023543, 101.63045 3.027041, 101.629522 3.027255, 101.629986 3.029254, 101.629379 3.031967, 101.630387 3.032416, 101.667805 3.018508, 101.669218 3.018155, 101.668397 3.015241, 101.668718 3.012921, 101.669111 3.012028, 101.670753 3.011457, 101.671859 3.010779, 101.67293 3.011029, 101.67707 3.0116, 101.683816 3.011883, 101.68379 3.008963, 101.683697 2.998198, 101.681386 2.99626, 101.681123 2.982382))"
324,TAMAN PUCHONG UTAMA,3063,550229,163.625,8,"POLYGON ((101.608959 2.979694, 101.578429 2.978398, 101.578185 2.979448, 101.578319 2.979764, 101.58044 2.984773, 101.580463 2.985093, 101.583766 2.993866, 101.58657 3.004488, 101.586738 3.004774, 101.587903 3.006761, 101.588277 3.0074, 101.589436 3.008085, 101.590343 3.008621, 101.591082 3.009507, 101.591527 3.009989, 101.594634 3.013764, 101.595682 3.014846, 101.597389 3.020444, 101.59916 3.020418, 101.59643 3.012874, 101.595147 3.010756, 101.593559 3.010091, 101.591101 3.004451, 101.600625 3.004418, 101.609174 3.004465, 101.618931 3.004569, 101.618856 3.003586, 101.619621 3.001104, 101.619364 2.999657, 101.619992 2.998763, 101.617536 2.998706, 101.617498 2.997107, 101.616089 2.994042, 101.615802 2.993485, 101.613152 2.99103, 101.609375 2.982404, 101.609064 2.980381, 101.608959 2.979694))"
325,TAMAN PUNCAK PUTERI,405,48949,30.25,4,"POLYGON ((101.728453 2.930146, 101.718363 2.930063, 101.706718 2.929967, 101.708166 2.930606, 101.709684 2.931276, 101.709684 2.931276, 101.710983 2.932962, 101.711388 2.935244, 101.712431 2.936851, 101.711328 2.937797, 101.709109 2.938892, 101.708349 2.938241, 101.707298 2.937438, 101.706287 2.937937, 101.705766 2.936958, 101.704439 2.936131, 101.703324 2.935307, 101.702068 2.934802, 101.700845 2.93436, 101.699598 2.933998, 101.696964 2.933196, 101.695418 2.933017, 101.693536 2.932763, 101.693388 2.931624, 101.693849 2.929867, 101.694343 2.928825, 101.694876 2.927965, 101.695946 2.927574, 101.696361 2.92712, 101.696851 2.926646, 101.697607 2.925434, 101.69652 2.924931, 101.695535 2.924562, 101.694147 2.924231, 101.693128 2.923723, 101.691475 2.92251, 101.689026 2.920992, 101.688739 2.918509, 101.687939 2.915829, 101.687044 2.914282, 101.685642 2.912473, 101.688244 2.910062, 101.685246 2.90805, 101.683979 2.907066, 101.683385 2.905214, 101.683007 2.901861, 101.683181 2.899861, 101.682221 2.89924, 101.680706 2.899138, 101.679092 2.899421, 101.678521 2.899573, 101.677476 2.900219, 101.675877 2.901677, 101.67506 2.902314, 101.674145 2.903153, 101.673318 2.90408, 101.67282 2.90489, 101.67193 2.906091, 101.670454 2.90814, 101.669777 2.910767, 101.66976 2.910832, 101.669948 2.911499, 101.671097 2.915574, 101.671097 2.915574, 101.672036 2.915702, 101.67225 2.916551, 101.672418 2.917217, 101.672253 2.918398, 101.672253 2.918398, 101.672546 2.91955, 101.672159 2.920383, 101.672109 2.920625, 101.672028 2.921013, 101.671685 2.922429, 101.670968 2.92462, 101.669203 2.927648, 101.669203 2.927648, 101.668569 2.928969, 101.66845 2.929269, 101.66845 2.929269, 101.668444 2.929297, 101.66826 2.930139, 101.667943 2.932038, 101.668732 2.934811, 101.672792 2.935146, 101.672994 2.933582, 101.673359 2.933611, 101.674537 2.93365, 101.675996 2.933295, 101.677527 2.932532, 101.677882 2.933403, 101.681901 2.941532, 101.68295 2.941185, 101.683963 2.940849, 101.685517 2.940802, 101.687661 2.941118, 101.688933 2.941342, 101.689339 2.942568, 101.689591 2.944544, 101.690357 2.946627, 101.691092 2.948224, 101.69227 2.949095, 101.693659 2.949955, 101.694282 2.949048, 101.695616 2.950011, 101.696615 2.950616, 101.697914 2.95062, 101.698816 2.950669, 101.69951 2.950868, 101.700001 2.951363, 101.700539 2.951785, 101.701167 2.952314, 101.701911 2.95272, 101.703205 2.952843, 101.704078 2.952411, 101.704754 2.95211, 101.705056 2.952045, 101.705472 2.952024, 101.705945 2.951981, 101.70637 2.951862, 101.707171 2.951472, 101.70796 2.950468, 101.708951 2.951034, 101.709098 2.951506, 101.708715 2.952052, 101.708003 2.952367, 101.707558 2.952567, 101.706516 2.953061, 101.706215 2.953259, 101.705626 2.953702, 101.704867 2.954201, 101.70511 2.955366, 101.704725 2.955819, 101.703989 2.955348, 101.702696 2.954718, 101.701565 2.955059, 101.700253 2.953746, 101.698867 2.952657, 101.697855 2.953405, 101.697508 2.955583, 101.698694 2.955871, 101.698466 2.956566, 101.69974 2.958037, 101.701858 2.959502, 101.704155 2.960166, 101.707615 2.960587, 101.710198 2.959509, 101.710198 2.959509, 101.710947 2.960408, 101.711465 2.961032, 101.714286 2.960738, 101.714299 2.960985, 101.715127 2.960336, 101.715127 2.960239, 101.715114 2.955423, 101.730576 2.955195, 101.73102 2.954632, 101.731174 2.954642, 101.731174 2.954637, 101.731178 2.954432, 101.731198 2.953242, 101.730977 2.948603, 101.730889 2.946751, 101.730893 2.945893, 101.730955 2.932646, 101.730933 2.930213, 101.728563 2.930155, 101.728563 2.930147, 101.728453 2.930146))"
326,TAMAN SALAK SOUTH,2365,223357,73.66666666666667,3,"POLYGON ((101.69684 3.084683, 101.697025 3.084495, 101.697296 3.083576, 101.698017 3.083, 101.699298 3.083054, 101.700221 3.082746, 101.702009 3.081986, 101.702862 3.080817, 101.703058 3.079941, 101.702997 3.079388, 101.702582 3.078505, 101.701968 3.075299, 101.69978 3.075236, 101.695672 3.075119, 101.688835 3.075209, 101.689845 3.078289, 101.690819 3.079694, 101.695961 3.079424, 101.696628 3.08119, 101.695492 3.081172, 101.69542 3.082829, 101.69684 3.084683))"
327,TAMAN SEGAR,15,901,320.0,1,"POLYGON ((101.742133 3.084624, 101.741297 3.087983, 101.739149 3.096076, 101.738895 3.097322, 101.740604 3.099524, 101.740823 3.099132, 101.741401 3.098855, 101.742197 3.09829, 101.745372 3.098532, 101.745742 3.098694, 101.749032 3.098647, 101.748813 3.100527, 101.749171 3.101322, 101.750844 3.10115, 101.750851 3.10115, 101.75264 3.097246, 101.75277 3.096981, 101.75278 3.096981, 101.752767 3.096968, 101.752707 3.096908, 101.752079 3.09628, 101.751913 3.09515, 101.751795 3.094346, 101.751266 3.092108, 101.749867 3.090676, 101.74602 3.08674, 101.745119 3.085766, 101.745093 3.08565, 101.744926 3.084922, 101.7449 3.084595, 101.744856 3.08405, 101.745073 3.083507, 101.745284 3.083098, 101.745774 3.082799, 101.745964 3.082683, 101.742642 3.082671, 101.742133 3.084624))"
328,TAMAN SERI ANDALAS 1,14,1386,320.0,1,"POLYGON ((101.440985 3.019442, 101.441833 3.022818, 101.442415 3.025158, 101.442047 3.026503, 101.441988 3.027733, 101.441953 3.028468, 101.44674 3.030616, 101.449996 3.030847, 101.449305 3.029453, 101.451851 3.029453, 101.453221 3.029399, 101.459004 3.026722, 101.456327 3.02019, 101.45497 3.020083, 101.455042 3.017835, 101.451687 3.017728, 101.451901 3.015657, 101.448556 3.016768, 101.446318 3.017316, 101.445084 3.018192, 101.443017 3.019015, 101.441728 3.019434, 101.440985 3.019442))"
329,TAMAN SHAMELIN PERKASA,1024,180348,251.0,4,"POLYGON ((101.723378 3.118389, 101.725646 3.118389, 101.728466 3.119805, 101.728831 3.121851, 101.727628 3.123841, 101.729592 3.125372, 101.732957 3.127184, 101.738587 3.130009, 101.738043 3.132008, 101.737786 3.132275, 101.738065 3.132034, 101.738587 3.130009, 101.738719 3.129497, 101.73872 3.129493, 101.740636 3.125604, 101.740845 3.125062, 101.741168 3.124224, 101.741168 3.124224, 101.739534 3.119961, 101.739144 3.11882, 101.738567 3.116909, 101.738465 3.11655, 101.738465 3.11655, 101.737936 3.115454, 101.73783 3.115236, 101.737761 3.115092, 101.735939 3.116148, 101.735928 3.116529, 101.734554 3.118189, 101.732972 3.117313, 101.732637 3.115814, 101.731171 3.115191, 101.731379 3.114569, 101.728687 3.113481, 101.728525 3.114125, 101.727509 3.115083, 101.727124 3.115568, 101.723885 3.118, 101.723378 3.118389))"
330,TAMAN SRI HIJAU,9,598,60.0,1,"POLYGON ((101.578677 3.32504, 101.578234 3.325836, 101.577758 3.326342, 101.576211 3.328454, 101.575289 3.329168, 101.57288 3.329108, 101.570114 3.328721, 101.569212 3.328928, 101.569212 3.330371, 101.571015 3.333886, 101.572818 3.336681, 101.573205 3.339365, 101.573237 3.339584, 101.574006 3.339616, 101.576392 3.339716, 101.57686 3.339735, 101.57847 3.340143, 101.580507 3.340659, 101.580598 3.340886, 101.581315 3.342679, 101.582078 3.34339, 101.582875 3.344131, 101.582988 3.344237, 101.584601 3.344986, 101.587778 3.344756, 101.588835 3.344014, 101.589092 3.343834, 101.588168 3.343614, 101.587537 3.342802, 101.585554 3.34154, 101.579566 3.3352, 101.578852 3.333891, 101.578852 3.332464, 101.580458 3.329846, 101.580756 3.328895, 101.580934 3.327407, 101.580499 3.326144, 101.578677 3.32504))"
331,TAMAN SRI PETALING,768,133795,120.0,1,"POLYGON ((101.703301 3.066115, 101.703301 3.065792, 101.703162 3.064911, 101.701917 3.06346, 101.70014 3.063011, 101.692959 3.063434, 101.693219 3.065656, 101.69403 3.067305, 101.694752 3.069394, 101.69495 3.070565, 101.694969 3.072403, 101.698691 3.073225, 101.699244 3.073078, 101.699731 3.0727, 101.699858 3.07225, 101.699858 3.071799, 101.700002 3.066305, 101.703301 3.066115))"
332,TAMAN SRI RAMPAI,1576,243640,272.0,4,"POLYGON ((101.727257 3.199247, 101.728507 3.199505, 101.730355 3.199557, 101.731271 3.199678, 101.735211 3.202076, 101.736628 3.200006, 101.736636 3.199974, 101.737215 3.197866, 101.740982 3.199022, 101.742744 3.200506, 101.744023 3.201811, 101.744156 3.201947, 101.746623 3.199266, 101.745065 3.196593, 101.742476 3.194578, 101.742376 3.194522, 101.739624 3.193, 101.736793 3.191949, 101.735696 3.191795, 101.733502 3.192518, 101.729487 3.195301, 101.727161 3.196878, 101.727424 3.197688, 101.727257 3.199247))"
